Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
50,68,70,100,2018,3
20,78,70,91,2036,3
100,95,2,5,3000,2
100,84,3,89,4000,3
61,10,4,95,6520,3
79,13,55,85,2019,3
60,98,88,87,2018,3
78,99,77,91,2019,3
62,94,10,100,2019,3
77,75,20,98,2019,3
64,85,90,90,2021,3
73,88,100,88,2021,3
78,85,67,5,2020,1
77,77,76,6,2018,1
78,94,1,7,2020,1
66,83,78,8,2021,1
77,89,68,76,2010,2
61,90,64,82,2011,2
74,81,61,100,2030,3
67,86,64,89,2031,3
60,75,72,79,2019,2
63,93,77,75,2020,2
65,78,72,77,2018,2
61,90,63,76,2021,2
63,78,68,99,2020,3
69,94,67,80,2019,2
67,87,66,90,2021,3
63,77,72,76,2019,2
77,77,79,82,2018,2
63,87,72,85,2018,3
